Indicator;Source_Type;Country;Disaggregation;Year;Value;Standard Deviation;Number of observations;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Small holder farms;2008;24112.369;171334.36;367;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Non-small holder farms;2008;176650.05;1899909.5;155;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Income from agriculture greater than 30%;2008;106700.41;1386156.8;443;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Income from agriculture lower than 30%;2008;14545.19;75762.313;79;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);National;2008;90397.977;1258174.9;522;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Rural;2007;7239.54;13773.75;741;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Urban;2007;8441.9297;30416.1;357;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Only male adults in the household;2007;5633.0801;7579.1099;54;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Only female adults in the household;2007;5780.79;9045.2002;91;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Male and female adults in the household;2007;7904.1499;21734.449;953;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Expenditure quintile 1;2007;6129.5801;15928.62;79;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Expenditure quintile 2;2007;5386.8198;7938.2798;150;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Expenditure quintile 3;2007;5664.8999;7653.0098;183;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Expenditure quintile 4;2007;7941.6201;18128.17;255;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Expenditure quintile 5;2007;9260.0898;27777.93;431;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Small holder farms;2007;6529.8301;7849.5098;770;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Non-small holder farms;2007;10144.49;35316.648;328;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Income from agriculture greater than 30%;2007;12382.56;36263.371;309;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;Income from agriculture lower than 30%;2007;5749.23;7625.6299;789;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bulgaria;National;2007;7616.52;20493.5;1098;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Rural;2014;380.07999;783.71997;5779;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Urban;2014;355.54999;336.88;1549;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Only male adults in the household;2014;458.06;702.69;133;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Only female adults in the household;2014;324.76999;442.76001;497;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Male and female adults in the household;2014;381.41;782.83002;6693;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Expenditure quintile 1;2014;361.89001;635.09998;2018;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Expenditure quintile 2;2014;352.60001;354.95001;1851;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Expenditure quintile 3;2014;410.42001;1153.71;1722;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Expenditure quintile 4;2014;384.91;556.13;1293;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Expenditure quintile 5;2014;415.01001;1104.85;422;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Small holder farms;2014;366.10001;681.53003;5005;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Non-small holder farms;2014;394.22;851.28003;2320;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Income from agriculture greater than 30%;2014;385.73999;744.17999;6557;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Income from agriculture lower than 30%;2014;302.70001;906.58002;768;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;National;2014;378.31;760.23999;7328;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Rural;2019;18911.01;318857.25;3472;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Urban;2019;5606.2002;88423.594;932;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Only male adults in the household;2019;50960.629;351435.13;72;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Only female adults in the household;2019;65165.371;660141;345;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Male and female adults in the household;2019;13399.48;255301.91;3985;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Expenditure quintile 1;2019;5410.2798;127930.3;1188;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Expenditure quintile 2;2019;9859.1904;191442.09;1120;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Expenditure quintile 3;2019;26165.9;416338.63;1006;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Expenditure quintile 4;2019;19631.109;227493.83;795;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Expenditure quintile 5;2019;73391.641;725234.31;295;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Small holder farms;2019;25474.98;337762.78;3234;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Non-small holder farms;2019;9420.5195;272452.41;1170;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Burkina Faso;Income from agriculture greater than 30%;2019;22949.73;352137.91;3191;;
